accountno,trans_date,ref_code,ref_no,amount,timestamp,tag,reading,consumption,sequence,custno
"1011200428",01/03/2025,"04","6898824",-111.00,/  /,"W",0,0,184801,428
"1011200428",01/03/2025,"15","6898824",-3.25,/  /,"F",0,0,184802,428
"0111202494",01/03/2025,"04","6898825",-75.00,/  /,"W",0,0,184803,2494
"0111202494",01/03/2025,"15","6898825",-2.50,/  /,"F",0,0,184804,2494
"0413201286",01/03/2025,"04","6995725",-100.00,/  /,"W",0,0,184805,1286
"0413201286",01/03/2025,"15","6995725",-0.50,/  /,"F",0,0,184806,1286
"0411201356",01/03/2025,"04","6995726",-258.00,/  /,"W",0,0,184807,1356
"0411201356",01/03/2025,"15","6995726",-7.25,/  /,"F",0,0,184808,1356
"1311201018",01/03/2025,"04","6898826",-309.00,/  /,"W",0,0,184809,1018
"1311201018",01/03/2025,"15","6898826",-8.25,/  /,"F",0,0,184810,1018
"0811200262",01/03/2025,"04","6995727",-147.00,/  /,"W",0,0,184811,262
"0811200262",01/03/2025,"15","6995727",-4.00,/  /,"F",0,0,184812,262
"0811200217",01/03/2025,"04","6995728",-222.00,/  /,"W",0,0,184813,217
"0811200217",01/03/2025,"15","6995728",-5.50,/  /,"F",0,0,184814,217
"0411201379",01/03/2025,"04","6898827",-249.00,/  /,"W",0,0,184815,1379
"0411201379",01/03/2025,"15","6898827",-6.00,/  /,"F",0,0,184816,1379
"1611202544",01/03/2025,"04","6898828",-430.50,/  /,"W",0,0,184817,2544
"1611202544",01/03/2025,"15","6898828",-11.25,/  /,"F",0,0,184818,2544
"1011201067",01/03/2025,"04","6995729",-147.00,/  /,"W",0,0,184819,1067
"1011201067",01/03/2025,"15","6995729",-8.00,/  /,"F",0,0,184820,1067
"1211201246",01/03/2025,"04","6898829",-675.00,/  /,"W",0,0,184821,1246
"1211201246",01/03/2025,"15","6898829",-15.50,/  /,"F",0,0,184822,1246
"1611202623",01/03/2025,"04","6898830",-111.00,/  /,"W",0,0,184823,2623
"1611202623",01/03/2025,"15","6898830",-3.25,/  /,"F",0,0,184824,2623
"1311200952",01/03/2025,"04","6995730",-183.00,/  /,"W",0,0,184825,952
"1311200952",01/03/2025,"15","6995730",-4.75,/  /,"F",0,0,184826,952
"0511202308",01/03/2025,"04","6898831",-135.00,/  /,"W",0,0,184827,2308
"0511202308",01/03/2025,"15","6898831",-3.75,/  /,"F",0,0,184828,2308
"0511202300",01/03/2025,"04","6995731",-360.50,/  /,"W",0,0,184829,2300
"0511202300",01/03/2025,"15","6995731",-22.50,/  /,"F",0,0,184830,2300
"1411202066",01/03/2025,"04","6995732",-618.50,/  /,"W",0,0,184831,2066
"1411202066",01/03/2025,"15","6995732",-10.50,/  /,"F",0,0,184832,2066
"1411201895",01/03/2025,"04","6995733",-262.50,/  /,"W",0,0,184833,1895
"1411201895",01/03/2025,"15","6995733",-6.25,/  /,"F",0,0,184834,1895
"1411201954",01/03/2025,"04","6995734",-75.00,/  /,"W",0,0,184835,1954
"1411201954",01/03/2025,"15","6995734",-1.50,/  /,"F",0,0,184836,1954
"0711202424",01/03/2025,"04","6995735",-531.00,/  /,"W",0,0,184837,2424
"0711202424",01/03/2025,"15","6995735",-12.50,/  /,"F",0,0,184838,2424
"0711200747",01/03/2025,"04","6898832",-75.00,/  /,"W",0,0,184839,747
"0711200747",01/03/2025,"15","6898832",-1.50,/  /,"F",0,0,184840,747
"1411202034",01/03/2025,"04","6898833",-75.00,/  /,"W",0,0,184841,2034
"1411202034",01/03/2025,"15","6898833",-1.50,/  /,"F",0,0,184842,2034
"1411202040",01/03/2025,"04","6898834",-195.00,/  /,"W",0,0,184843,2040
"1411202040",01/03/2025,"15","6898834",-5.00,/  /,"F",0,0,184844,2040
"1113201831",01/03/2025,"04","6995736",-3627.50,/  /,"W",0,0,184845,1831
"1113201831",01/03/2025,"15","6995736",-49.25,/  /,"F",0,0,184846,1831
"1113201830",01/03/2025,"04","6995737",-14411.00,/  /,"W",0,0,184847,1830
"1113201830",01/03/2025,"15","6995737",-177.75,/  /,"F",0,0,184848,1830
"1011200518",01/03/2025,"04","6898835",-249.00,/  /,"W",0,0,184849,518
"1011200518",01/03/2025,"15","6898835",-6.00,/  /,"F",0,0,184850,518
"1411201921",01/03/2025,"04","6898836",-732.50,/  /,"W",0,0,184851,1921
"1111201657",01/03/2025,"04","6995738",-75.00,/  /,"W",0,0,184852,1657
"1111201657",01/03/2025,"15","6995738",-0.75,/  /,"F",0,0,184853,1657
"0511202328",01/03/2025,"04","6995739",-151.00,/  /,"W",0,0,184854,2328
"0511202328",01/03/2025,"15","6995739",-2.00,/  /,"F",0,0,184855,2328
"0111201064",01/03/2025,"04","6995740",-1473.00,/  /,"W",0,0,184856,1064
"0111201064",01/03/2025,"15","6995740",-24.00,/  /,"F",0,0,184857,1064
"1611202496",01/03/2025,"04","6995741",-360.00,/  /,"W",0,0,184858,2496
"1611202496",01/03/2025,"15","6995741",-8.00,/  /,"F",0,0,184859,2496
"0511202330",01/03/2025,"04","6898837",-289.50,/  /,"W",0,0,184860,2330
"0511202330",01/03/2025,"15","6898837",-7.00,/  /,"F",0,0,184861,2330
